key,ion,wave_vac
[OIII]-5008,[O III],5008.24
[OIII]-4960,[O III],4960.295
[OII]-3727,[O II],3727.092
[NeIII]-3870,[Ne III],3869.86
HeI-4027,He I,4027.324
HeI-4714,He I,4714.458
[FeII]-3377,[Fe II],3377.169
[FeII]-3627,[Fe II],3626.807
[FeII]-3255,[Fe II],3255.177
[FeII]-3319,[Fe II],3319.342
[FeII]-3442,[Fe II],3441.978
[FeII]-3503,[Fe II],3502.627
HeI-3706,He I,3706.05
[FeII]-3278,[Fe II],3278.061
[FeII]-3540,[Fe II],3539.702
[FeII]-3537,[Fe II],3537.257
H15,H I,3713.033
[OII]-3730,[O II],3729.875
H13,H I,3735.436
H12,H I,3751.224
H11,H I,3771.708
H10,H I,3798.983
HeI-3821,He I,3820.687
H9,H I,3836.479
CaII-3935,Ca II,3934.777
[NeIII]-3969,[Ne III],3968.59
H7,H I,3971.202
CaII-3970,Ca II,3969.591
H8,H I,3890.158
[SII]-4070,[S II],4069.746
[SII]-4077,[S II],4077.494
Hd,H I,4102.899
[FeII]-4180,[Fe II],4180.142
[FeII]-4178,[Fe II],4178.379
HeI-4145,He I,4144.928
[FeII]-4114,[Fe II],4113.594
[FeII]-4116,[Fe II],4115.636
[FeII]-4246,[Fe II],4245.55
[FeII]-4245,[Fe II],4245.169
[FeII]-4278,[Fe II],4278.04
[FeII]-4289,[Fe II],4288.6
[FeII]-4307,[Fe II],4307.109
[FeII]-4323,[Fe II],4323.138
[FeII]-4321,[Fe II],4320.837
[FeII]-4331,[Fe II],4330.646
Hg,H I,4341.691
[OIII]-4364,[O III],4364.436
[FeII]-4357,[Fe II],4357.374
[FeII]-4348,[Fe II],4348.081
[FeII]-4353,[Fe II],4353.031
[FeII]-4354,[Fe II],4354.008
[FeII]-4361,[Fe II],4360.557
[FeII]-4360,[Fe II],4359.592
[FeII]-4374,[Fe II],4373.658
[FeII]-4384,[Fe II],4383.976
HeI-4389,He I,4389.162
[FeII]-4415,[Fe II],4415.02
[FeII]-4418,[Fe II],4417.508
[FeII]-4453,[Fe II],4453.347
[FeII]-4459,[Fe II],4459.198
HeI-4473,He I,4472.729
[FeII]-4476,[Fe II],4476.158
[FeII]-4434,[Fe II],4433.692
[FeII]-4472,[Fe II],4471.552
[FeII]-4641,[Fe II],4640.973
[FeIII]-4659,[Fe III],4659.42
[FeII]-4666,[Fe II],4665.753
HeII-4687,He II,4687.116
[FeII]-4729,[Fe II],4729.393
[FeII]-4776,[Fe II],4776.063
[FeII]-4816,[Fe II],4815.89
Hb,H I,4862.691
[FeII]-4854,[Fe II],4854.099
[FeII]-4876,[Fe II],4875.857
[FeII]-4891,[Fe II],4890.988
HeI-4923,He I,4923.305
[FeII]-4975,[Fe II],4974.785
[FeII]-5113,[Fe II],5113.061
[FeII]-5159,[Fe II],5159.451
[FeII]-5165,[Fe II],5165.396
[FeII]-5201,[Fe II],5200.628
[FeII]-5222,[Fe II],5221.529
[FeII]-5263,[Fe II],5263.097
[FeII]-5275,[Fe II],5274.831
[FeII]-5270,[Fe II],5270.352
[FeII]-5280,[Fe II],5279.85
[FeII]-5298,[Fe II],5298.318
[FeII]-5300,[Fe II],5300.362
[FeII]-5335,[Fe II],5335.145
[FeII]-5378,[Fe II],5377.961
[FeII]-5414,[Fe II],5414.18
[FeII]-5435,[Fe II],5434.66
[FeII]-5479,[Fe II],5478.772
[FeII]-5529,[Fe II],5528.889
[FeII]-5675,[Fe II],5674.774
[FeII]-5769,[Fe II],5769.12
[NII]-5756,[N II],5756.19
[FeII]-5758,[Fe II],5758.326
[FeII]-5752,[Fe II],5752.433
[FeII]-5749,[Fe II],5748.571
[FeII]-5747,[Fe II],5747.303
[FeII]-5837,[Fe II],5837.069
[FeII]-5846,[Fe II],5845.522
[FeII]-5849,[Fe II],5848.95
[FeII]-5872,[Fe II],5871.648
HeI-5877,He I,5877.243
NaI-5892,Na I,5891.583
[FeII]-5903,[Fe II],5902.91
[OI]-6302,[O I],6302.046
[SIII]-6314,[S III],6313.81
[OI]-6366,[O I],6365.536
Ha,H I,6564.632
[NII]-6550,[N II],6549.86
[NII]-6585,[N II],6585.27
[FeII]-6547,[Fe II],6546.58
[FeII]-6586,[Fe II],6586.218
HeI-6680,He I,6679.996
[FeII]-6691,[Fe II],6691.232
[SII]-6718,[S II],6718.285
[SII]-6733,[S II],6732.656
[FeII]-6732,[Fe II],6731.728
[FeII]-6874,[Fe II],6874.083
[FeII]-6876,[Fe II],6875.736
OI-7004,O I,7004.161
[FeII]-5553,[Fe II],5552.856
[FeII]-6442,[Fe II],6442.195
[FeII]-6476,[Fe II],6475.676
HeI-7067,He I,7067.125
[FeII]-7133,[Fe II],7133.108
[FeII]-6947,[Fe II],6946.826
[FeII]-7157,[Fe II],7157.146
OI-7256,O I,7256.447
HeI-7283,He I,7283.357
[OII]-7322,[O II],7322.01
[OII]-7333,[O II],7332.75
[FeII]-7439,[Fe II],7439.045
HeI-5017,He I,5017.077
OI-8449,O I,8449.079
OI-7989,O I,7989.174
CaII-8500,Ca II,8500.36
CaII-8544,Ca II,8544.44
CaII-8665,Ca II,8664.52
Pa14,H I,8600.754
Pa11,H I,8865.216
Pa12,H I,8752.876
OI-7778,O I,7777.527
[FeII]-8827,[Fe II],8827.475
Pa10,H I,9017.384
[SIII]-9071,[S III],9071.1
Pa9,H I,9231.546
PaE,H I,9548.588
[SIII]-9533,[S III],9533.2
[SVIII]-9916,[S VIII],9916.0
[FeII]-10017,[Fe II],10016.67
PaD,H I,10052.123
HeI-10030,He I,10030.462
[FeII]-10031,[Fe II],10031.414
FeII-3443,Fe II,3444.8139767431144
FeII-3227,Fe II,3228.672908657434
FeII-3213,Fe II,3214.232253336386
FeII-3210,Fe II,3211.366528334719
FeII-3196,Fe II,3196.990893414191
FeII-3193,Fe II,3194.7153183339174
FeII-3192,Fe II,3193.831094896853
FeII-3281,Fe II,3282.236494911583
FeII-3277,Fe II,3278.292493070029
[FeII]-4494,[Fe II],4493.896
[FeII]-4490,[Fe II],4490.009
[FeII]-5045,[Fe II],5044.934
[FeII]-5061,[Fe II],5061.497
FeII-8228,Fe II,8231.192247747536
FeII-9132,Fe II,9134.868641850213
FeII-9122,Fe II,9125.446091563565
FeII-9210,Fe II,9213.465916282941
FeII-9204,Fe II,9207.136202882299
FeII-9203,Fe II,9205.647799986467
FeII-9196,Fe II,9199.421114494808
FeII-9325,Fe II,9327.673834246038
FeII-9377,Fe II,9379.614897287975
[FeII]-9387,[Fe II],9387.34
[FeII]-9384,[Fe II],9384.254
[FeII]-4949,[Fe II],4948.766
[FeII]-4773,[Fe II],4773.399
[FeII]-3225,[Fe II],3225.474
FeII-5170,Fe II,5170.473
TiI]-5656,Ti I,5656.175
TiI-5704,Ti I,5703.589
TiII]-4401,Ti II,4401.008
TiI-4406,Ti I,4405.505
FeI]-4406,Fe I,4405.987
TiI-4565,Ti I,4564.703
TiI-4587,Ti I,4587.035
TiII-4535,Ti II,4535.24
TiI-4536,Ti I,4535.967
TiI-4535,Ti I,4534.512
TiI-4537,Ti I,4536.84
FeII-4557,Fe II,4557.17
FeII-4585,Fe II,4585.121
TiII-4591,Ti II,4591.244
TiII-4565,Ti II,4565.04
FeII-4524,Fe II,4523.902
TiII-4781,Ti II,4781.321
TiII]-4765,Ti II,4765.213
TiII]-4766,Ti II,4765.858
FeII-5236,Fe II,5236.082
FeII-5277,Fe II,5276.526
TiII-5338,Ti II,5338.255
TiII-5383,Ti II,5382.511
TiII-5420,Ti II,5420.257
FeI]-5173,Fe I,5172.608
FeI-5290,Fe I,5289.762
FeI-5381,Fe I,5381.07
FeI-5571,Fe I,5571.165
FeI-5570,Fe I,5569.62
FeI-5565,Fe I,5565.145
FeI-5605,Fe I,5604.501
FeI]-5704,Fe I,5703.699
FeI-5703,Fe I,5703.096
FeI-5709,Fe I,5708.633
FeI-6138,Fe I,6138.313
FeI-6139,Fe I,6138.693
FeII-5893,Fe II,5892.961
FeII-6242,Fe II,6241.679
FeII]-6237,Fe II,6236.954
FeII-6249,Fe II,6249.078
FeII-6177,Fe II,6176.855
FeII-6151,Fe II,6150.96
FeII-6149,Fe II,6150.933906343098
FeII-6152,Fe II,6152.01
TiI-6020,Ti I,6019.913
FeII-5169,Fe II,5170.485823239434
[NiII]-7380,[Ni II],7379.86
[FeII]-4480,[Fe II],4480.373
HeI-3928,He I,3927.656
FeII-3255,Fe II,3256.828044756517
FeII-6240,Fe II,6239.529
[FeII]-9270,[Fe II],9270.098
FeII-9997,Fe II,10000.297024322184
FeII-9125,Fe II,9125.419
FeII-8929,Fe II,8929.086
FeII-8490,Fe II,8492.38684312864
